,experiment,num,entropy
65,reference_sphere___disconnected_testing,68,1.1832713663882997
66,reference_sphere___disconnected_testing,69,1.1778130103254816
67,reference_sphere___disconnected_testing,7,1.188687866113614
68,reference_sphere___disconnected_testing,70,1.1876424718058145
69,reference_sphere___disconnected_testing,71,1.1851193615610318
70,reference_sphere___disconnected_testing,72,1.193548301596864
71,reference_sphere___disconnected_testing,73,1.193628748915824
72,reference_sphere___disconnected_testing,74,1.1833468922995727
73,reference_sphere___disconnected_testing,75,1.187171115650871
74,reference_sphere___disconnected_testing,76,1.2027399821217768
75,reference_sphere___disconnected_testing,77,1.1738219834719041
76,reference_sphere___disconnected_testing,78,1.1889494694627927
77,reference_sphere___disconnected_testing,79,1.1794426506611284
78,reference_sphere___disconnected_testing,8,1.184753954902584
79,reference_sphere___disconnected_testing,80,1.1879665690653338
80,reference_sphere___disconnected_testing,81,1.1875177715244924
81,reference_sphere___disconnected_testing,82,1.1870591186420163
82,reference_sphere___disconnected_testing,83,1.1916884998130806
83,reference_sphere___disconnected_testing,84,1.1799989458917366
84,reference_sphere___disconnected_testing,85,1.1728701412537523
85,reference_sphere___disconnected_testing,86,1.1931863392566995
86,reference_sphere___disconnected_testing,87,1.1927393901705696
87,reference_sphere___disconnected_testing,88,1.1961976806537662
88,reference_sphere___disconnected_testing,89,1.1794814527985866
89,reference_sphere___disconnected_testing,9,1.1914969609404082
90,reference_sphere___disconnected_testing,90,1.189282195087664
91,reference_sphere___disconnected_testing,91,1.1867005570310407
92,reference_sphere___disconnected_testing,92,1.1940732216554715
93,reference_sphere___disconnected_testing,93,1.187903153128802
94,reference_sphere___disconnected_testing,94,1.195566811359499
95,reference_sphere___disconnected_testing,95,1.1922402796303035
96,reference_sphere___disconnected_testing,96,1.185953730077526
97,reference_sphere___disconnected_testing,97,1.1928756327209633
98,reference_sphere___disconnected_testing,98,1.207468358307945
99,reference_sphere___disconnected_testing,99,1.1893911089586762
100,uniform_biased_RRT_biased_disconnected_filter_testing,0,1.4266645330576535
101,uniform_biased_RRT_biased_disconnected_filter_testing,1,1.3866009567477835
102,uniform_biased_RRT_biased_disconnected_filter_testing,10,1.4776992940401712
103,uniform_biased_RRT_biased_disconnected_filter_testing,11,1.4534814067992452
104,uniform_biased_RRT_biased_disconnected_filter_testing,12,1.4620208908900953
105,uniform_biased_RRT_biased_disconnected_filter_testing,13,1.369784899258337
106,uniform_biased_RRT_biased_disconnected_filter_testing,14,1.4673294827394794
107,uniform_biased_RRT_biased_disconnected_filter_testing,15,1.4531133029373722
108,uniform_biased_RRT_biased_disconnected_filter_testing,16,1.4563031293001636
109,uniform_biased_RRT_biased_disconnected_filter_testing,17,1.5103315543550986
110,uniform_biased_RRT_biased_disconnected_filter_testing,18,1.4989229506914183
111,uniform_biased_RRT_biased_disconnected_filter_testing,19,1.4817200351023532
