,experiment,num,iterations
63,uniform_biased_RRT_biased_off_center_connected,65,178.3588638589618
64,uniform_biased_RRT_biased_off_center_connected,66,178.2158667972576
65,uniform_biased_RRT_biased_off_center_connected,67,177.8890848520478
66,uniform_biased_RRT_biased_off_center_connected,68,178.2456896551724
67,uniform_biased_RRT_biased_off_center_connected,69,178.15233992559232
68,uniform_biased_RRT_biased_off_center_connected,7,178.43884751078008
69,uniform_biased_RRT_biased_off_center_connected,70,178.15018601918933
70,uniform_biased_RRT_biased_off_center_connected,71,178.37206112852664
71,uniform_biased_RRT_biased_off_center_connected,72,178.08989424206817
72,uniform_biased_RRT_biased_off_center_connected,73,178.0960219478738
73,uniform_biased_RRT_biased_off_center_connected,74,178.2160626836435
74,uniform_biased_RRT_biased_off_center_connected,75,178.28750489620055
75,uniform_biased_RRT_biased_off_center_connected,76,177.8413320274241
76,uniform_biased_RRT_biased_off_center_connected,77,177.9138099902057
77,uniform_biased_RRT_biased_off_center_connected,78,178.57708129285015
78,uniform_biased_RRT_biased_off_center_connected,79,177.75441003528027
79,uniform_biased_RRT_biased_off_center_connected,8,178.2204585537919
80,uniform_biased_RRT_biased_off_center_connected,80,178.280062671367
81,uniform_biased_RRT_biased_off_center_connected,81,178.24044679600235
82,uniform_biased_RRT_biased_off_center_connected,82,178.44601214971584
83,uniform_biased_RRT_biased_off_center_connected,83,177.81456823967105
84,uniform_biased_RRT_biased_off_center_connected,84,178.29982363315696
85,uniform_biased_RRT_biased_off_center_connected,85,178.19385157626786
86,uniform_biased_RRT_biased_off_center_connected,86,178.0570252792475
87,uniform_biased_RRT_biased_off_center_connected,87,178.36833855799372
88,uniform_biased_RRT_biased_off_center_connected,88,178.12406899255194
89,uniform_biased_RRT_biased_off_center_connected,89,178.1935736677116
90,uniform_biased_RRT_biased_off_center_connected,9,177.89415915327322
91,uniform_biased_RRT_biased_off_center_connected,90,178.50176263219743
92,uniform_biased_RRT_biased_off_center_connected,91,178.1797334378675
93,uniform_biased_RRT_biased_off_center_connected,92,177.81504702194357
94,uniform_biased_RRT_biased_off_center_connected,93,177.7483339866719
95,uniform_biased_RRT_biased_off_center_connected,94,177.66967084639498
96,uniform_biased_RRT_biased_off_center_connected,95,178.21374045801528
97,uniform_biased_RRT_biased_off_center_connected,96,178.39882468168463
98,uniform_biased_RRT_biased_off_center_connected,97,178.08780870246963
99,uniform_biased_RRT_biased_off_center_connected,98,178.1630094043887
100,uniform_biased_RRT_biased_off_center_connected,99,178.02469135802468
101,uniform_biased_RRT_biased_off_center_connected_filter,-1,178.93035118697273
102,uniform_biased_RRT_biased_off_center_connected_filter,0,178.6591532732262
103,uniform_biased_RRT_biased_off_center_connected_filter,1,178.98882133751715
104,uniform_biased_RRT_biased_off_center_connected_filter,10,178.52839796318057
105,uniform_biased_RRT_biased_off_center_connected_filter,11,178.80740595611286
106,uniform_biased_RRT_biased_off_center_connected_filter,12,178.4478021978022
107,uniform_biased_RRT_biased_off_center_connected_filter,13,179.11324451410658
108,uniform_biased_RRT_biased_off_center_connected_filter,14,178.3028638681836
109,uniform_biased_RRT_biased_off_center_connected_filter,15,178.5826802507837
110,uniform_biased_RRT_biased_off_center_connected_filter,16,178.9587750294464
111,uniform_biased_RRT_biased_off_center_connected_filter,17,178.68365346922775
112,uniform_biased_RRT_biased_off_center_connected_filter,18,178.43111894963747
113,uniform_biased_RRT_biased_off_center_connected_filter,19,178.67280564263322
114,uniform_biased_RRT_biased_off_center_connected_filter,2,178.30208333333334
115,uniform_biased_RRT_biased_off_center_connected_filter,20,178.9765074393109
116,uniform_biased_RRT_biased_off_center_connected_filter,21,179.09317379364455
117,uniform_biased_RRT_biased_off_center_connected_filter,22,178.56691522762952
118,uniform_biased_RRT_biased_off_center_connected_filter,23,178.56208382295338
119,uniform_biased_RRT_biased_off_center_connected_filter,24,178.37036310107948
120,uniform_biased_RRT_biased_off_center_connected_filter,25,178.3965483428123
121,uniform_biased_RRT_biased_off_center_connected_filter,26,178.73064105077435
