,experiment,num,entropy
132,uniform_biased_RRT_biased_off_center_disconnected,36,-0.5301428838786191
133,uniform_biased_RRT_biased_off_center_disconnected,37,-0.5763589519524556
134,uniform_biased_RRT_biased_off_center_disconnected,38,-0.4160812143790339
135,uniform_biased_RRT_biased_off_center_disconnected,39,-0.5432325676990718
136,uniform_biased_RRT_biased_off_center_disconnected,4,-0.356505830857326
137,uniform_biased_RRT_biased_off_center_disconnected,40,-0.4394415543203446
138,uniform_biased_RRT_biased_off_center_disconnected,41,-0.5703510286313054
139,uniform_biased_RRT_biased_off_center_disconnected,42,-0.5014991437584232
140,uniform_biased_RRT_biased_off_center_disconnected,43,-0.3857795372536087
141,uniform_biased_RRT_biased_off_center_disconnected,44,-0.41908208371885847
142,uniform_biased_RRT_biased_off_center_disconnected,45,-0.39415110642527434
143,uniform_biased_RRT_biased_off_center_disconnected,46,-0.3484499589414404
144,uniform_biased_RRT_biased_off_center_disconnected,47,-0.49359711788766825
145,uniform_biased_RRT_biased_off_center_disconnected,48,-0.4994371801772792
146,uniform_biased_RRT_biased_off_center_disconnected,49,-0.399862672309094
147,uniform_biased_RRT_biased_off_center_disconnected,5,-0.3372771131049897
148,uniform_biased_RRT_biased_off_center_disconnected,50,-0.39019796812778385
149,uniform_biased_RRT_biased_off_center_disconnected,51,-0.4009539920438742
150,uniform_biased_RRT_biased_off_center_disconnected,52,-0.4188308905801886
151,uniform_biased_RRT_biased_off_center_disconnected,53,-0.4765789634151568
152,uniform_biased_RRT_biased_off_center_disconnected,54,-0.4373559600961818
153,uniform_biased_RRT_biased_off_center_disconnected,55,-0.46609745787992524
154,uniform_biased_RRT_biased_off_center_disconnected,56,-0.3754795652130584
155,uniform_biased_RRT_biased_off_center_disconnected,57,-0.5118766818130185
156,uniform_biased_RRT_biased_off_center_disconnected,58,-0.25767689386274
157,uniform_biased_RRT_biased_off_center_disconnected,59,inf
158,uniform_biased_RRT_biased_off_center_disconnected,6,-0.5445363453633925
159,uniform_biased_RRT_biased_off_center_disconnected,60,-0.500683224693259
160,uniform_biased_RRT_biased_off_center_disconnected,61,-0.4655559715417603
161,uniform_biased_RRT_biased_off_center_disconnected,62,-0.4019426197185638
162,uniform_biased_RRT_biased_off_center_disconnected,63,-0.5044334447566132
163,uniform_biased_RRT_biased_off_center_disconnected,64,-0.35446356108503896
164,uniform_biased_RRT_biased_off_center_disconnected,65,-0.4439033039628708
165,uniform_biased_RRT_biased_off_center_disconnected,66,-0.3790903449864759
166,uniform_biased_RRT_biased_off_center_disconnected,67,-0.5411700004837081
167,uniform_biased_RRT_biased_off_center_disconnected,68,-0.4303989831083323
168,uniform_biased_RRT_biased_off_center_disconnected,69,-0.3491464923234699
169,uniform_biased_RRT_biased_off_center_disconnected,7,-0.330016060606766
170,uniform_biased_RRT_biased_off_center_disconnected,70,-0.5208003651567011
171,uniform_biased_RRT_biased_off_center_disconnected,71,-0.4319768001772465
172,uniform_biased_RRT_biased_off_center_disconnected,72,-0.4450078405772028
173,uniform_biased_RRT_biased_off_center_disconnected,73,-0.5174632014282253
174,uniform_biased_RRT_biased_off_center_disconnected,74,-0.3987386314374401
175,uniform_biased_RRT_biased_off_center_disconnected,75,inf
176,uniform_biased_RRT_biased_off_center_disconnected,76,-0.31557640626912487
177,uniform_biased_RRT_biased_off_center_disconnected,77,-0.3466688994080397
178,uniform_biased_RRT_biased_off_center_disconnected,78,inf
179,uniform_biased_RRT_biased_off_center_disconnected,79,-0.47782247679367246
180,uniform_biased_RRT_biased_off_center_disconnected,8,-0.3599665884238535
181,uniform_biased_RRT_biased_off_center_disconnected,80,-0.4772742684848592
182,uniform_biased_RRT_biased_off_center_disconnected,81,-0.43887361317947143
183,uniform_biased_RRT_biased_off_center_disconnected,82,-0.4914892929741912
184,uniform_biased_RRT_biased_off_center_disconnected,83,-0.47878669262791457
185,uniform_biased_RRT_biased_off_center_disconnected,84,-0.5027175771622919
186,uniform_biased_RRT_biased_off_center_disconnected,85,-0.44625241311636016
187,uniform_biased_RRT_biased_off_center_disconnected,86,-0.4670892068195088
188,uniform_biased_RRT_biased_off_center_disconnected,87,-0.34559632650098704
189,uniform_biased_RRT_biased_off_center_disconnected,88,-0.47315652440029055
190,uniform_biased_RRT_biased_off_center_disconnected,89,-0.5851856781469092
191,uniform_biased_RRT_biased_off_center_disconnected,9,-0.5105070839104553
192,uniform_biased_RRT_biased_off_center_disconnected,90,-0.402399481485914
193,uniform_biased_RRT_biased_off_center_disconnected,91,-0.5263683364952638
194,uniform_biased_RRT_biased_off_center_disconnected,92,-0.4181247977979314
195,uniform_biased_RRT_biased_off_center_disconnected,93,-0.4579546687694919
196,uniform_biased_RRT_biased_off_center_disconnected,94,-0.4532335372916421
197,uniform_biased_RRT_biased_off_center_disconnected,95,-0.5485258585490447
198,uniform_biased_RRT_biased_off_center_disconnected,96,-0.5267898514933811
199,uniform_biased_RRT_biased_off_center_disconnected,97,-0.5602435429937539
