,experiment,num,variance
180,uniform_biased_RRT_biased_off_center_disconnected,8,1.1738917686536448
181,uniform_biased_RRT_biased_off_center_disconnected,80,1.769016760135322
182,uniform_biased_RRT_biased_off_center_disconnected,81,1.2618047128427459
183,uniform_biased_RRT_biased_off_center_disconnected,82,1.4528744181307331
184,uniform_biased_RRT_biased_off_center_disconnected,83,2.1364613968444632
185,uniform_biased_RRT_biased_off_center_disconnected,84,1.6108600915199844
186,uniform_biased_RRT_biased_off_center_disconnected,85,1.2532724734378105
187,uniform_biased_RRT_biased_off_center_disconnected,86,0.9765970742746933
188,uniform_biased_RRT_biased_off_center_disconnected,87,1.1230083062189677
189,uniform_biased_RRT_biased_off_center_disconnected,88,1.1389351930733154
190,uniform_biased_RRT_biased_off_center_disconnected,89,2.901037860557586
191,uniform_biased_RRT_biased_off_center_disconnected,9,2.1667599351584714
192,uniform_biased_RRT_biased_off_center_disconnected,90,1.0966613667892688
193,uniform_biased_RRT_biased_off_center_disconnected,91,2.5586386489005366
194,uniform_biased_RRT_biased_off_center_disconnected,92,1.9449883883294659
195,uniform_biased_RRT_biased_off_center_disconnected,93,1.5074694324858715
196,uniform_biased_RRT_biased_off_center_disconnected,94,1.3135103090472187
197,uniform_biased_RRT_biased_off_center_disconnected,95,2.280764058907003
198,uniform_biased_RRT_biased_off_center_disconnected,96,1.5283983821351734
199,uniform_biased_RRT_biased_off_center_disconnected,97,2.7956640907141437
200,uniform_biased_RRT_biased_off_center_disconnected,98,1.8049362062576817
201,uniform_biased_RRT_biased_off_center_disconnected,99,1.149440000571499
202,uniform_biased_RRT_biased_off_center_disconnected_filter,-1,0.2174648837149052
203,uniform_biased_RRT_biased_off_center_disconnected_filter,0,0.2512054368728164
204,uniform_biased_RRT_biased_off_center_disconnected_filter,1,0.3687333306533322
205,uniform_biased_RRT_biased_off_center_disconnected_filter,10,0.3676322307713238
206,uniform_biased_RRT_biased_off_center_disconnected_filter,11,0.21861105770796233
