,experiment,num,entropy
71,reference_sphere___center_connected,72,1.1396111957417188
72,reference_sphere___center_connected,73,1.13824009912549
73,reference_sphere___center_connected,74,1.1361317191384412
74,reference_sphere___center_connected,75,1.1385537335217777
75,reference_sphere___center_connected,76,1.1384047915838829
76,reference_sphere___center_connected,77,1.1391747098164238
77,reference_sphere___center_connected,78,1.1384870998847836
78,reference_sphere___center_connected,79,1.1341832120418178
79,reference_sphere___center_connected,8,1.135057211653729
80,reference_sphere___center_connected,80,1.137865089018767
81,reference_sphere___center_connected,81,1.1399160303672347
82,reference_sphere___center_connected,82,1.1428036783835251
83,reference_sphere___center_connected,83,1.1351908837897324
84,reference_sphere___center_connected,84,1.1346024443464227
85,reference_sphere___center_connected,85,1.1375130112318195
86,reference_sphere___center_connected,86,1.1382645782531338
87,reference_sphere___center_connected,87,1.1370517290864652
88,reference_sphere___center_connected,88,1.138367373716691
89,reference_sphere___center_connected,89,1.1401587627980607
90,reference_sphere___center_connected,9,1.138155817404342
91,reference_sphere___center_connected,90,1.1394425757075783
92,reference_sphere___center_connected,91,1.137867480728014
93,reference_sphere___center_connected,92,1.1380065554654124
94,reference_sphere___center_connected,93,1.1394708019782493
95,reference_sphere___center_connected,94,1.1378496641428628
96,reference_sphere___center_connected,95,1.1357149543887535
97,reference_sphere___center_connected,96,1.1382560641474155
98,reference_sphere___center_connected,97,1.1387995289815833
99,reference_sphere___center_connected,98,1.1370793633023848
100,reference_sphere___center_connected,99,1.1364289234062244
101,uniform_biased_RRT_biased_center_connected,-1,0.8666436241151024
102,uniform_biased_RRT_biased_center_connected,0,0.8956418218951814
103,uniform_biased_RRT_biased_center_connected,1,0.8278819488816225
104,uniform_biased_RRT_biased_center_connected,10,0.8062235258651977
105,uniform_biased_RRT_biased_center_connected,11,0.8051733847145036
106,uniform_biased_RRT_biased_center_connected,12,0.8439637816174647
107,uniform_biased_RRT_biased_center_connected,13,0.9197932950089548
108,uniform_biased_RRT_biased_center_connected,14,0.7135946488748155
109,uniform_biased_RRT_biased_center_connected,15,0.8120517567422502
110,uniform_biased_RRT_biased_center_connected,16,0.8720492249708892
111,uniform_biased_RRT_biased_center_connected,17,0.8667701794338827
112,uniform_biased_RRT_biased_center_connected,18,0.8730984462784122
113,uniform_biased_RRT_biased_center_connected,19,0.8512798317651837
114,uniform_biased_RRT_biased_center_connected,2,0.9276232977041345
115,uniform_biased_RRT_biased_center_connected,20,0.8027937397973343
